IBM Db2 Interactive CLI Sample Program
(C) COPYRIGHT International Business Machines Corp. 1993,1996
All Rights Reserved
Licensed Materials - Property of IBM
US Government Users Restricted Rights - Use, duplication or
disclosure restricted by GSA ADP Schedule Contract with IBM Corp.
> SELECT USERID, APP, ATTEMPTDATE, ATTEMPTRESULT, CLIENTHOST, CLIENTADDR FROM LOGINTRACKING WHERE ATTEMPTDATE >= CURRENT_DATE - 90 DAYS AND ATTEMPTRESULT = 'LOGIN';
FetchAll:  Columns: 6
  USERID APP ATTEMPTDATE ATTEMPTRESULT CLIENTHOST CLIENTADDR 
  JOAOCOSTA, -, 2026-03-24 09:46:16.598000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  WENDELCARDOSO, -, 2026-03-24 09:50:42.635000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  ELCIODSILVA, -, 2026-03-24 09:53:02.974000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  ANDRESAMPAIO, -, 2026-03-24 09:59:49.202000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  WSORACLE, -, 2026-03-24 10:00:50.451000, LOGIN, UNKNOWN, UNKNOWN
  WSORACLE, -, 2026-03-24 10:00:56.942000, LOGIN, UNKNOWN, UNKNOWN
  WSORACLE, -, 2026-03-24 10:01:05.463000, LOGIN, UNKNOWN, UNKNOWN
  MAIKELUCAS, -, 2026-03-24 10:01:05.589000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  WSORACLE, -, 2026-03-24 10:01:12.380000, LOGIN, UNKNOWN, UNKNOWN
  ALANSILVA, -, 2026-03-24 10:02:25.921000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  LUIZFELIPE, -, 2026-03-24 10:03:29.215000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  ANDRETTPORTO, -, 2026-03-24 10:04:19.344000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  MAIKELUCAS, -, 2026-03-24 10:04:29.635000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  VICTORBRASIL, -, 2026-03-24 10:04:40.552000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  GEORGESCHUENG, -, 2026-03-24 10:09:05.236000, LOGIN, odrl-odn1-sv013.foresea.com, 10.120.216.145
  RAYLANUNES, -, 2026-03-24 10:09:14.722000, LOGIN, 10.117.113.8, 10.117.113.8
