IBM Db2 Interactive CLI Sample Program
(C) COPYRIGHT International Business Machines Corp. 1993,1996
All Rights Reserved
Licensed Materials - Property of IBM
US Government Users Restricted Rights - Use, duplication or
disclosure restricted by GSA ADP Schedule Contract with IBM Corp.
> SELECT USERID, LICENSENUM, ISSELFSERVICEUSER, ISUNLICUSER, ISLATEST FROM MAXLICUSAGE;
FetchAll:  Columns: 5
  USERID LICENSENUM ISSELFSERVICEUSER ISUNLICUSER ISLATEST 
  EDILSONEDGARDO, O&G_LIMITED, 0, 0, 0
  CRISTIANILINCA, O&G_LIMITED, 0, 0, 0
  MAUROCUNHA, O&G_LIMITED, 0, 0, 0
  REMISSONSILVA, O&G_AUTHORIZED, 0, 0, 0
  DAREKWROBLEWSKI, O&G_LIMITED, 0, 0, 0
  OLIVIAJULIANELLI, O&G_LIMITED, 0, 0, 0
  ISABELAPODORA, O&G_AUTHORIZED, 0, 0, 0
  USERTESTE, O&G_AUTHORIZED, 0, 0, 0
  LUISMACEDO, O&G_AUTHORIZED, 0, 0, 0
  WENDELLLINHARES, O&G_AUTHORIZED, 0, 0, 0
  HUGOSOUTO, O&G_LIMITED, 0, 0, 0
  DOWGLASAREAS, O&G_LIMITED, 0, 0, 0
  SAVIOTESTE, O&G_LIMITED, 0, 0, 0
  MOISESSANTOS, O&G_LIMITED, 0, 0, 0
  VCARVALHO, O&G_AUTHORIZED, 0, 0, 0
  JACEEK, O&G_LIMITED, 0, 0, 0
  GABRIELAMARTINEZ, O&G_LIMITED, 0, 0, 0
  LUIZMOREIRA, O&G_LIMITED, 0, 0, 0
  ALINEAMANCIO2, O&G_LIMITED, 0, 0, 0
  LUIZGOMES, O&G_LIMITED, 0, 0, 0
  ANTONIOFILHO, O&G_LIMITED, 0, 0, 0
  WALDENIRFIGUEIRA, O&G_AUTHORIZED, 0, 0, 0
  VITOROLIVEIRA, O&G_LIMITED, 0, 0, 0
  RENANAVNER, -, 0, 1, 0
  MAYCONSILVA, O&G_LIMITED, 0, 0, 0
  ERNANDESPEREIR, O&G_LIMITED, 0, 0, 0
  MARCIOROCHA, O&G_LIMITED, 0, 0, 0
  VLADIMIRSANTOS, O&G_LIMITED, 0, 0, 0
  SONIACOSTA, O&G_LIMITED, 0, 0, 0
  ANTONIO SERGIO GONÇALVES FILHO, O&G_LIMITED, 0, 0, 0
  RODRIGOACARDOSO, -, 0, 1, 0
  MAURICIOCORREIA, -, 0, 1, 0
  FABIORITA, -, 0, 1, 0
  EDUARDOGADELHA, -, 0, 1, 0
  ALLENBATTAIA, -, 0, 1, 1
  BRUNOMACHADO, -, 0, 1, 1
  EDILSONEDGARDO, -, 0, 1, 0
  PEDROCOTTING, -, 0, 1, 0
  CARLOSMARIANO, -, 0, 1, 0
  WESLLEYSILVA, -, 0, 1, 1
  ALINEAMANCIO, -, 0, 1, 0
  HELPDESK, -, 0, 1, 0
  CRISTIANILINCA, -, 0, 1, 0
  FABIOFIGUEIRA, -, 0, 1, 0
  FABIOMENDES, -, 0, 1, 0
  SANDROPARENTE, -, 0, 1, 0
  CIDCOSTA, -, 0, 1, 0
  NICUTIU, -, 0, 1, 0
  MAUROCUNHA, -, 0, 1, 0
  MARCOSNEVES, -, 0, 1, 0
  REMISSONSILVA, -, 0, 1, 0
  THIAGOLOUZA, -, 0, 1, 1
  NILSONCANDIDO, -, 0, 1, 0
  DAVIPERALVA, -, 0, 1, 0
  DAREKWROBLEWSKI, -, 0, 1, 0
  GIOVANNAGREGORIS, -, 0, 1, 0
  ADRIJANSUSA, -, 0, 1, 0
  DOUGLASRAMOS, -, 0, 1, 0
  AGATHAALVARENGA, -, 0, 1, 0
  DANIELGONCALVES, -, 0, 1, 0
  MARCIOMOLINARI, -, 0, 1, 0
  DARLANDOREA, -, 0, 1, 0
  FABRICIOPIEKALA, -, 0, 1, 0
  BRUNOZULLO, -, 0, 1, 0
  CINTIAFANTINATTI, -, 0, 1, 0
  WAGNERWYATT, -, 0, 1, 0
  FRANCISRIBEIRO, -, 0, 1, 0
  CHARLLESFARIA, -, 0, 1, 0
  JOAOCNETO, -, 0, 1, 0
  MARCOSFILHO, -, 0, 1, 0
  TIAGOBITTENCOURT, -, 0, 1, 0
  ISABELAMARTINS, -, 0, 1, 0
  ANTONIOCONCEICAO, -, 0, 1, 0
  RAFAELALEXANDRE, -, 0, 1, 0
  GIOVANNAZANON, -, 0, 1, 0
  LUISMACEDO, -, 0, 1, 1
  RICARDOBASTOS, -, 0, 1, 0
  RODRIGOCOVA, -, 0, 1, 1
  NICHOLASGOUVEIA, -, 0, 1, 0
  BRENNOGUIMARAES, O&G_AUTHORIZED, 0, 0, 0
  MARCELOMOTTA, O&G_AUTHORIZED, 0, 0, 0
  PAULOCONCEICAO, O&G_LIMITED, 0, 0, 0
  DENISDELMAS, O&G_LIMITED, 0, 0, 0
  CATALINPAPANCEA, O&G_LIMITED, 0, 0, 0
  DHINAKARANUTHIRAKODI, O&G_LIMITED, 0, 0, 0
  MAXREG, -, 1, 0, 0
  DANIELFONSECA, O&G_LIMITED, 0, 0, 0
  EUGENIOCAICEDO, O&G_LIMITED, 0, 0, 0
  ADOLFOJULIO, O&G_LIMITED, 0, 0, 0
  ALLENBATTAIA, O&G_LIMITED, 0, 0, 0
  FERNANDOHOLANDA, O&G_LIMITED, 0, 0, 0
  ALINEAMANCIO, O&G_LIMITED, 0, 0, 0
  FABIOFIGUEIRA, O&G_AUTHORIZED, 0, 0, 0
  NICUTIU, O&G_LIMITED, 0, 0, 0
  MARCOSNEVES, O&G_AUTHORIZED, 0, 0, 0
  THIAGOLOUZA, O&G_AUTHORIZED, 0, 0, 0
  ENIOSANTOS, -, 0, 1, 0
  GIOVANNAGREGORIS, O&G_LIMITED, 0, 0, 0
  MARCIOMOLINARI, O&G_LIMITED, 0, 0, 0
  DARLANDOREA, O&G_LIMITED, 0, 0, 0
  WAGNERWYATT, O&G_AUTHORIZED, 0, 0, 0
  FRANCISRIBEIRO, O&G_AUTHORIZED, 0, 0, 0
  TIAGOBITTENCOURT, O&G_LIMITED, 0, 0, 0
  ISABELAMARTINS, O&G_LIMITED, 0, 0, 0
  GIOVANNAZANON, O&G_LIMITED, 0, 0, 0
  RICARDOBASTOS, O&G_AUTHORIZED, 0, 0, 0
  CLARISSERODRIGUES, O&G_LIMITED, 0, 0, 0
  HELENOFILHO, O&G_AUTHORIZED, 0, 0, 0
  LINASOUZA, O&G_LIMITED, 0, 0, 0
  YURIMARTTOS, O&G_LIMITED, 0, 0, 0
  ISAACOLIVEIRA, O&G_AUTHORIZED, 0, 0, 0
  PEDROFRANCO, O&G_AUTHORIZED, 0, 0, 0
  JOSEHALMEIDA, O&G_LIMITED, 0, 0, 0
  NATALIALOPES, O&G_AUTHORIZED, 0, 0, 0
  RENILTONMOURA, O&G_LIMITED, 0, 0, 0
  FABRIZIOSOBRINHO, O&G_AUTHORIZED, 0, 0, 0
  VICTORBRANDAO, O&G_AUTHORIZED, 0, 0, 0
  WILLIAMDSANTOS, O&G_AUTHORIZED, 0, 0, 0
  PARTHUR, O&G_LIMITED, 0, 0, 0
  HERMESRODRIGUES, O&G_LIMITED, 0, 0, 0
  ELCIODIAS, O&G_LIMITED, 0, 0, 0
  LEOSANDOVAL, O&G_LIMITED, 0, 0, 0
  CRISTIANOXAVIER, O&G_AUTHORIZED, 0, 0, 0
  DANILODELIMA, O&G_LIMITED, 0, 0, 0
  LUIZCSANTOS, O&G_LIMITED, 0, 0, 0
  MARLONROBIM, O&G_LIMITED, 0, 0, 0
  WILLIANSILVA, O&G_LIMITED, 0, 0, 0
  JAMESREGAN, O&G_LIMITED, 0, 0, 0
  URSULADIAS, O&G_AUTHORIZED, 0, 0, 0
  DIEGOESMITE, O&G_AUTHORIZED, 0, 0, 0
  ROBERTATOSTES, O&G_LIMITED, 0, 0, 0
  CARLOSSANTOS, O&G_LIMITED, 0, 0, 0
  GABRIELCEH, O&G_LIMITED, 0, 0, 0
  MUNIRAVALENTIM, O&G_LIMITED, 0, 0, 0
  HENRIQUEPEREIRA, O&G_AUTHORIZED, 0, 0, 0
  WASHINGTONGOMES, O&G_LIMITED, 0, 0, 0
  ANDRESILVA, O&G_LIMITED, 0, 0, 0
  GILSONCOELHO, O&G_LIMITED, 0, 0, 0
  PATRICIASOUSA, O&G_AUTHORIZED, 0, 0, 0
  LUCIANORIBEIRO, O&G_AUTHORIZED, 0, 0, 0
  ALEXANDRERIBEIRO, O&G_AUTHORIZED, 0, 0, 0
  GLIBMYKH, O&G_LIMITED, 0, 0, 0
  RENATOFESSLER, O&G_LIMITED, 0, 0, 0
  LEANDROFMEDEIROS, O&G_LIMITED, 0, 0, 0
  RODRIGOCOVA, O&G_AUTHORIZED, 0, 0, 0
  BRUNOCOSTA, O&G_LIMITED, 0, 0, 0
  LUKASZGRZELAK, O&G_LIMITED, 0, 0, 0
  CLARISSERODRIGUES, -, 0, 1, 0
  WENDELLLINHARES, -, 0, 1, 0
  HELENOFILHO, -, 0, 1, 0
  LENIELJUNIOR, -, 0, 1, 0
  ARYGSOUZA, -, 0, 1, 0
  RODRIGOCUSANDEI, -, 0, 1, 0
  LINASOUZA, -, 0, 1, 0
  HUGOSOUTO, -, 0, 1, 0
  RODRIGOVELLASCO, -, 0, 1, 0
  ISAACOLIVEIRA, -, 0, 1, 0
  DOWGLASAREAS, -, 0, 1, 0
  MARKUSVINICIUS, -, 0, 1, 0
  RODRIGOBERTI, -, 0, 1, 0
  LEANDROHORA, -, 0, 1, 0
  CHARLLESFARIA, -, 0, 1, 0
  THALESPEREIRA, -, 0, 1, 0
  USERTESTE, -, 0, 1, 0
  FABIOCARVALHO, -, 0, 1, 0
  RAMIRESCL, -, 0, 1, 0
  CYANO, -, 0, 1, 0
  VCARVALHO, -, 0, 1, 0
  MARCOSMAUMESSO, -, 0, 1, 0
  MACKSONSILVA, -, 0, 1, 0
  GEORGEMEDEIROS, -, 0, 1, 1
  DIEGOESMITE, -, 0, 1, 0
  CARLOSMARIANO, -, 0, 1, 0
  FABRICIOABILIO, -, 0, 1, 0
  PAULOCOSTA, -, 0, 1, 0
  TAYLERANMORAES, -, 0, 1, 0
  HASSLERLEAL, -, 0, 1, 0
  REMISSONMACHADO, -, 0, 1, 0
  REMISSONSILVA, -, 0, 1, 0
  GUILHERMEPEREIRA, -, 0, 1, 1
  USERTESTA, -, 0, 1, 0
  JEFFERSONLOMAR, -, 0, 1, 0
  PAULOGUIMARAES, -, 0, 1, 0
  SILVANAARAUJO, -, 0, 1, 0
  OLIVIAJULIANELLI, -, 0, 1, 0
  EMANUELLYBARRETO, -, 0, 1, 0
  LUANAPEIXOTO, -, 0, 1, 0
  PIETROMACHADO, -, 0, 1, 0
  HELIORUBEM, -, 0, 1, 0
  LEONARDOMOREIRA, -, 0, 1, 0
  WALDENIRFIGUEIRA, -, 0, 1, 0
  CARLOSMAHTOPOULOS, -, 0, 1, 0
  RAFAELROCHA, -, 0, 1, 1
  ALEXSALUSTINO, -, 0, 1, 0
  ANDREFERREIRA, -, 0, 1, 0
  THIAGOCALHEIA, -, 0, 1, 0
  JONATHANMELGAÇO, -, 0, 1, 0
  EWERSONROCHA, -, 0, 1, 0
  DOWGLASAREAS, -, 0, 1, 0
  CLARISSERODRIGUES, -, 0, 1, 0
  BRUNOPINTO, -, 0, 1, 1
  ADRIANOSILVA, -, 0, 1, 0
  ANTONIO.GONCALVES, -, 0, 1, 0
  BRUNOLUZ, -, 0, 1, 0
  RODRIGOGUIMARAES, -, 0, 1, 0
  ADALBERTOSILVA, -, 0, 1, 0
  CARLOSBATISTA, -, 0, 1, 0
  LUISSOUZA, -, 0, 1, 0
  CRISTIANOBARCELOS, -, 0, 1, 0
  ELIASLIMA, -, 0, 1, 0
  ALISSONBARROS, -, 0, 1, 0
  FRANCISCOSOUZA, -, 0, 1, 0
  ORLANDORODRIGUES, -, 0, 1, 0
  BRUNOMIRANDA, -, 0, 1, 0
  LEANDROVILELA, -, 0, 1, 0
  RONIVALDOCONDE, -, 0, 1, 0
  PAULOERNANI, -, 0, 1, 1
  ANDERSONBACCA, -, 0, 1, 0
  WILLENCORDEIRO, -, 0, 1, 0
  FRANCISCONETO, -, 0, 1, 0
  ADILIOMEDEIROS, -, 0, 1, 0
  LUISSOUZA, -, 0, 1, 1
  DIEGOFREITAS, -, 0, 1, 0
  ADEMIROLIVEIRA, -, 0, 1, 0
  FRANCISCONETO, -, 0, 1, 0
