IBM Db2 Interactive CLI Sample Program
(C) COPYRIGHT International Business Machines Corp. 1993,1996
All Rights Reserved
Licensed Materials - Property of IBM
US Government Users Restricted Rights - Use, duplication or
disclosure restricted by GSA ADP Schedule Contract with IBM Corp.
> SELECT USERID, LICENSENUM, ISSELFSERVICEUSER, ISUNLICUSER, ISLATEST FROM MAXLICUSAGE;
FetchAll:  Columns: 5
  USERID LICENSENUM ISSELFSERVICEUSER ISUNLICUSER ISLATEST 
  GABRIELREGIS, -, 0, 1, 0
  ALEXANDREANDRADE, -, 0, 1, 0
  OSIELBARRETO, -, 0, 1, 0
  RENANASSEF, -, 0, 1, 0
  HASSLERLEAL, -, 0, 1, 1
  ERICALISBOA, -, 0, 1, 0
  RAFAELPASCOAL, -, 0, 1, 1
  FILIPEMONSORES, -, 0, 1, 0
  JEFFERSONSOUZA, -, 0, 1, 0
  FREDERICOCARDOSO, -, 0, 1, 0
  FLAMARIONBRAGA, -, 0, 1, 0
  MARCIOMAGALHAES, O&G_LIMITED, 0, 0, 0
  LEONARDOMOREIRA, -, 0, 1, 0
  RENATOLIMA, O&G_LIMITED, 0, 0, 0
  RUTHSILVA, O&G_LIMITED, 0, 0, 0
  RAFAELSIMOES, -, 0, 1, 0
  DANILODELIMA, -, 0, 1, 0
  GRAZIONEMELLO, -, 0, 1, 0
  JESSICAQUINTANILHA, -, 0, 1, 1
  JULIANAMANHAES, -, 0, 1, 0
  IGORKLEM, -, 0, 1, 1
  EMMANUELJUNIOR, -, 0, 1, 0
  LUCASMIRANDA, -, 0, 1, 1
  WLADMYRCALLADO, -, 0, 1, 0
  JOAOCOSTA, -, 0, 1, 1
  THIAGOSILVEIRA, -, 0, 1, 0
  MILENAKOCHEM, -, 0, 1, 0
  THIAGOSILVEIRA, -, 0, 1, 0
  JADERMIGUEL, -, 0, 1, 1
  RENATAPEREIRA, O&G_LIMITED, 0, 0, 0
  HEITORGIOPPO, O&G_LIMITED, 0, 0, 0
  FABIANO.SOUZA, O&G_LIMITED, 0, 0, 0
  LUCASBRAGANCA, -, 0, 1, 0
  KLISMANCHAGAS, -, 0, 1, 0
  ASANTANA, -, 0, 1, 0
  MARCELOBRITI, -, 0, 1, 0
  CHARLESPEREIRA, -, 0, 1, 0
  DOWGLASAREAS, -, 0, 1, 0
  GABRIELALINO, O&G_LIMITED, 0, 0, 0
  LUISSILVA, -, 0, 1, 1
  JOANAFREZE, -, 0, 1, 0
